first_schema;e1;e2;score
drom;http://data.odeuropa.eu/vocabulary/drom/tobacco;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_tobacco;1.0
drom;http://data.odeuropa.eu/vocabulary/drom/vanilla_absolute;http://data.odeuropa.eu/vocabulary/historical-scent/empyreumatic__smoky_vanilla;0.8166522338417629
drom;http://data.odeuropa.eu/vocabulary/drom/floral;http://data.odeuropa.eu/vocabulary/historical-scent/floral;1.0
drom;http://data.odeuropa.eu/vocabulary/drom/jasmin_absolute;http://data.odeuropa.eu/vocabulary/historical-scent/floral_jasmin;0.8262996646372671
drom;http://data.odeuropa.eu/vocabulary/drom/rose_oil;http://data.odeuropa.eu/vocabulary/historical-scent/floral_rose;0.8561415983895635
drom;http://data.odeuropa.eu/vocabulary/drom/galbanum_oil;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_galbanum;0.8939757110520276
drom;http://data.odeuropa.eu/vocabulary/drom/rosemary_oil;http://data.odeuropa.eu/vocabulary/historical-scent/fresh_green_rosemary;0.8831024247637826
drom;http://data.odeuropa.eu/vocabulary/drom/fruity;http://data.odeuropa.eu/vocabulary/historical-scent/fruity;1.0
drom;http://data.odeuropa.eu/vocabulary/drom/lemon_oil;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_lemon;0.8980920986567398
drom;http://data.odeuropa.eu/vocabulary/drom/orange_oil;http://data.odeuropa.eu/vocabulary/historical-scent/fruity_orange;0.88291328933276
drom;http://data.odeuropa.eu/vocabulary/drom/lavender;http://data.odeuropa.eu/vocabulary/historical-scent/herbal_lavender;1.0
drom;http://data.odeuropa.eu/vocabulary/drom/labdanum_absolute;http://data.odeuropa.eu/vocabulary/historical-scent/resinous_labdanum;0.8262996646109605
drom;http://data.odeuropa.eu/vocabulary/drom/spicy;http://data.odeuropa.eu/vocabulary/historical-scent/spicy;1.0
drom;http://data.odeuropa.eu/vocabulary/drom/cinnamon_oil;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_cinnamon;0.8962726901668743
drom;http://data.odeuropa.eu/vocabulary/drom/nutmeg_oil;http://data.odeuropa.eu/vocabulary/historical-scent/spicy_nutmeg;0.889459502018782
drom;http://data.odeuropa.eu/vocabulary/drom/woody;http://data.odeuropa.eu/vocabulary/historical-scent/woody;1.0
